timestamp,price_eur_mwh,demand_forecast_mwh,solar_forecast_mwh,net_exchange_forecast_mwh
2023-12-31 23:00:00+00:00,0.1,4068.18,0.0,-1089.2
2024-01-01 00:00:00+00:00,0.01,3892.38,0.0,-971.5
2024-01-01 01:00:00+00:00,0.04,3644.58,0.0,-860.7
2024-01-01 02:00:00+00:00,0.01,3493.5,0.0,-733.1
2024-01-01 03:00:00+00:00,0.01,3454.03,0.0,-700.0
2024-01-01 04:00:00+00:00,0.01,3560.45,0.0,-841.2
2024-01-01 05:00:00+00:00,0.04,3673.25,0.0,-982.9
2024-01-01 06:00:00+00:00,0.01,3712.4,10.1,-1030.3
2024-01-01 07:00:00+00:00,0.0,3678.78,109.4,-1257.5
2024-01-01 08:00:00+00:00,0.04,3610.8,277.8,-1184.7
2024-01-01 09:00:00+00:00,0.06,3519.03,363.7,-594.7
2024-01-01 10:00:00+00:00,0.54,3562.18,570.1,-321.4
2024-01-01 11:00:00+00:00,2.24,3709.33,528.58,-237.7
2024-01-01 12:00:00+00:00,3.22,3782.98,1004.93,-417.3
2024-01-01 13:00:00+00:00,9.73,4035.35,735.95,-700.0
2024-01-01 14:00:00+00:00,38.66,4291.23,238.95,-1037.6
2024-01-01 15:00:00+00:00,53.17,4692.48,0.28,-1545.7
2024-01-01 16:00:00+00:00,61.26,4845.95,0.0,-1733.5
2024-01-01 17:00:00+00:00,60.7,4882.98,0.0,-1721.8
2024-01-01 18:00:00+00:00,54.94,4914.55,0.0,-1718.1
2024-01-01 19:00:00+00:00,48.47,4833.1,0.0,-1618.2
2024-01-01 20:00:00+00:00,40.6,4691.7,0.0,-1450.0
2024-01-01 21:00:00+00:00,44.92,4494.25,0.0,-1265.3
2024-01-01 22:00:00+00:00,35.55,4307.6,0.0,-1069.3
2024-01-01 23:00:00+00:00,29.48,3996.28,0.0,-919.8
2024-01-02 00:00:00+00:00,19.67,3775.03,0.0,-852.1
2024-01-02 01:00:00+00:00,27.92,3647.0,0.0,-734.3
2024-01-02 02:00:00+00:00,16.54,3674.03,0.0,-661.0
2024-01-02 03:00:00+00:00,9.95,3830.3,0.0,-789.1
2024-01-02 04:00:00+00:00,38.51,4361.7,0.0,-1165.8
2024-01-02 05:00:00+00:00,46.22,4963.43,0.0,-1857.1
2024-01-02 06:00:00+00:00,73.84,5417.25,41.48,-2063.5
2024-01-02 07:00:00+00:00,77.86,5317.33,464.0,-1712.4
2024-01-02 08:00:00+00:00,76.31,5228.83,1016.98,-1055.0
2024-01-02 09:00:00+00:00,75.65,5175.08,1218.38,-329.7
2024-01-02 10:00:00+00:00,78.0,5526.18,1113.45,43.8
2024-01-02 11:00:00+00:00,80.54,5461.73,877.75,-288.5
2024-01-02 12:00:00+00:00,81.55,5241.13,921.38,-775.5
2024-01-02 13:00:00+00:00,84.21,5474.4,364.63,-1540.8
2024-01-02 14:00:00+00:00,85.59,5720.5,80.03,-2168.6
2024-01-02 15:00:00+00:00,88.12,5997.0,0.28,-2451.1
2024-01-02 16:00:00+00:00,86.21,6163.3,0.0,-2488.3
2024-01-02 17:00:00+00:00,81.53,6084.6,0.0,-2445.5
2024-01-02 18:00:00+00:00,75.01,5932.0,0.0,-2370.9
2024-01-02 19:00:00+00:00,59.91,5679.83,0.0,-2173.9
2024-01-02 20:00:00+00:00,47.98,5502.65,0.0,-2070.5
2024-01-02 21:00:00+00:00,41.04,5343.03,0.0,-1943.8
2024-01-02 22:00:00+00:00,25.48,5183.98,0.0,-1796.5
